Ligand_id	Ligand_symbol	Ligand_location	Receptor_id	Receptor_symbol	Receptor.location	Type	KEGG.pathway	Pmubmed.ID	Other.DB	LRID
124599	CD300LB	Membrane	11024	LILRA1	Membrane	Cell adhesion		32822567		LR00106
29992	PILRA	Membrane	11024	LILRA1	Membrane	Cell adhesion		32822567		LR00107
51330	TNFRSF12A	Membrane	11024	LILRA1	Membrane	Cell adhesion		32822567		LR00108
51561	IL23A	Secreted	11024	LILRA1	Membrane	Cytokine-cytokine receptor interaction		32822567		LR00109
56884	FSTL5	Secreted	11024	LILRA1	Membrane	Secreted protein to receptor interaction		32822567		LR00110
79908	BTNL8	Membrane	11024	LILRA1	Membrane	Cell adhesion		32822567		LR00111
51330	TNFRSF12A	Membrane	11025	LILRB3	Membrane	Cell adhesion		32822567		LR00112
79908	BTNL8	Membrane	11025	LILRB3	Membrane	Cell adhesion		32822567		LR00113
11119	BTN3A1	Membrane	11026	LILRA3	Membrane	Cell adhesion		32822567		LR00114
11026	LILRA3	Membrane	29990	PILRB	Membrane	Cell adhesion		32822567		LR00115
29992	PILRA	Membrane	11026	LILRA3	Membrane	Cell adhesion		32822567		LR00116
51330	TNFRSF12A	Membrane	11026	LILRA3	Membrane	Cell adhesion		32822567		LR00117
56920	SEMA3G	Secreted	11026	LILRA3	Membrane	Secreted protein to receptor interaction		32822567		LR00118
79908	BTNL8	Membrane	11026	LILRA3	Membrane	Cell adhesion		32822567		LR00119
29992	PILRA	Membrane	11118	BTN3A2	Membrane	Cell adhesion		32822567		LR00120
57453	DSCAML1	Membrane	11122	PTPRT	Membrane	Cell adhesion		32822567		LR00121
11141	IL1RAPL1	Membrane	29990	PILRB	Membrane	Cell adhesion		32822567		LR00122
115653	KIR3DL3	Membrane	11148	HHLA2	Membrane	Cell adhesion		32822567		LR00123
126259	TMIGD2	Membrane	11148	HHLA2	Membrane	Cell adhesion		32822567		LR00124
432355	SLURP2	Secreted	1136	CHRNA3	Membrane	Secreted protein to receptor interaction	hsa04080:Neuroactive ligand-receptor interaction	27485575		LR00129
57152	SLURP1	Secreted	1136	CHRNA3	Membrane	Secreted protein to receptor interaction	hsa04080:Neuroactive ligand-receptor interaction	29192197		LR00130
432355	SLURP2	Secreted	1137	CHRNA4	Membrane	Secreted protein to receptor interaction	hsa04080:Neuroactive ligand-receptor interaction	27485575		LR00131
57152	SLURP1	Secreted	1137	CHRNA4	Membrane	Secreted protein to receptor interaction	hsa04080:Neuroactive ligand-receptor interaction	29192197		LR00132
432355	SLURP2	Secreted	1139	CHRNA7	Membrane	Secreted protein to receptor interaction	hsa04080:Neuroactive ligand-receptor interaction	27485575		LR00135
57152	SLURP1	Secreted	1139	CHRNA7	Membrane	Secreted protein to receptor interaction	hsa04080:Neuroactive ligand-receptor interaction	25558396		LR00136
432355	SLURP2	Secreted	1141	CHRNB2	Membrane	Secreted protein to receptor interaction	hsa04080:Neuroactive ligand-receptor interaction	27485575		LR00139
57152	SLURP1	Secreted	1141	CHRNB2	Membrane	Secreted protein to receptor interaction	hsa04080:Neuroactive ligand-receptor interaction	29192197		LR00140
432355	SLURP2	Secreted	1143	CHRNB4	Membrane	Secreted protein to receptor interaction	hsa04080:Neuroactive ligand-receptor interaction	27485575		LR00143
57152	SLURP1	Secreted	1143	CHRNB4	Membrane	Secreted protein to receptor interaction	hsa04080:Neuroactive ligand-receptor interaction	29192197		LR00144
1154	CISH	Membrane	2057	EPOR	Membrane	Cell adhesion		28038963		LR00151
116	ADCYAP1	Secreted	117	ADCYAP1R1	Membrane	Secreted protein to receptor interaction	hsa04080:Neuroactive ligand-receptor interaction;hsa04024:cAMP signaling pathway;hsa04713:Circadian entrainment;hsa04911:Insulin secretion;hsa04924:Renin secretion	8703026;12488235;21350482;16930633;10583729;8253796;10100920;11931347	HPMR	LR00152
116	ADCYAP1	Secreted	1803	DPP4	Membrane	Secreted protein to receptor interaction		21314817		LR00153
116	ADCYAP1	Secreted	7433	VIPR1	Membrane	Secreted protein to receptor interaction		12488235;8791009;9928018;16930633;12429744;11897681;11931347	HPMR;IUPHAR	LR00154
116	ADCYAP1	Secreted	7434	VIPR2	Membrane	Secreted protein to receptor interaction	hsa04024:cAMP signaling pathway	12488235;9928018;8146174;11978642;16930633;11931347	IUPHAR	LR00155
7432	VIP	Secreted	117	ADCYAP1R1	Membrane	Secreted protein to receptor interaction	hsa04024:cAMP signaling pathway	10583729;12488235;16930633;11931347	IUPHAR	LR00156
117579	RLN3	Secreted	122042	RXFP2	Membrane	Secreted protein to receptor interaction	hsa04080:Neuroactive ligand-receptor interaction	16411781	IUPHAR	LR00157
117579	RLN3	Secreted	339403	RXFP4	Membrane	Secreted protein to receptor interaction	hsa04080:Neuroactive ligand-receptor interaction	14522967;27888281;25761609	HPMR;IUPHAR	LR00158
1191	CLU	Membrane	54209	TREM2	Membrane	Cell adhesion		28432014		LR00159
120425	JAML	Membrane	120425	JAML	Membrane	Cell adhesion		12869515		LR00160
10344	CCL26	Secreted	1230	CCR1	Membrane	Cytokine-cytokine receptor interaction	hsa04062:Chemokine signaling pathway	15039444	CellphoneDB	LR00161
6347	CCL2	Secreted	1230	CCR1	Membrane	Cytokine-cytokine receptor interaction	hsa04062:Chemokine signaling pathway	8631787;7679328	DLRP;HPMR	LR00163
6348	CCL3	Secreted	1230	CCR1	Membrane	Cytokine-cytokine receptor interaction	hsa04060:Cytokine-cytokine receptor interaction;hsa04061:Viral protein interaction with cytokine and cytokine receptor;hsa04062:Chemokine signaling pathway	10660125;7545673;9624164;8530354;12381680;10202040;11170631;9115216	DLRP;HPMR;IUPHAR;CellphoneDB	LR00164
6349	CCL3L1	Secreted	1230	CCR1	Membrane	Cytokine-cytokine receptor interaction	hsa04060:Cytokine-cytokine receptor interaction;hsa04061:Viral protein interaction with cytokine and cytokine receptor;hsa04062:Chemokine signaling pathway	11449371		LR00165
6351	CCL4	Secreted	1230	CCR1	Membrane	Cytokine-cytokine receptor interaction	hsa04062:Chemokine signaling pathway	8530354;7594543;12381680	DLRP;IUPHAR	LR00166
6352	CCL5	Secreted	1230	CCR1	Membrane	Cytokine-cytokine receptor interaction	hsa04060:Cytokine-cytokine receptor interaction;hsa04061:Viral protein interaction with cytokine and cytokine receptor;hsa04062:Chemokine signaling pathway	7545673;14637022;9624164;8530354;11116158;9289016;12270118	DLRP;IUPHAR;CellphoneDB	LR00167
6354	CCL7	Secreted	1230	CCR1	Membrane	Cytokine-cytokine receptor interaction	hsa04060:Cytokine-cytokine receptor interaction;hsa04061:Viral protein interaction with cytokine and cytokine receptor;hsa04062:Chemokine signaling pathway	7545673;8530354;11994538;12381680;9115216	DLRP;HPMR;IUPHAR;CellphoneDB	LR00168
6355	CCL8	Secreted	1230	CCR1	Membrane	Cytokine-cytokine receptor interaction	hsa04060:Cytokine-cytokine receptor interaction;hsa04061:Viral protein interaction with cytokine and cytokine receptor;hsa04062:Chemokine signaling pathway	9115216	DLRP;IUPHAR;CellphoneDB	LR00169
6357	CCL13	Secreted	1230	CCR1	Membrane	Cytokine-cytokine receptor interaction	hsa04060:Cytokine-cytokine receptor interaction;hsa04061:Viral protein interaction with cytokine and cytokine receptor;hsa04062:Chemokine signaling pathway	23846739	DLRP;IUPHAR	LR00170
6358	CCL14	Secreted	1230	CCR1	Membrane	Cytokine-cytokine receptor interaction	hsa04060:Cytokine-cytokine receptor interaction;hsa04061:Viral protein interaction with cytokine and cytokine receptor;hsa04062:Chemokine signaling pathway	20483925;11085751;9687537;12381680	DLRP;HPMR;IUPHAR;CellphoneDB	LR00171
6359	CCL15	Secreted	1230	CCR1	Membrane	Cytokine-cytokine receptor interaction	hsa04060:Cytokine-cytokine receptor interaction;hsa04061:Viral protein interaction with cytokine and cytokine receptor;hsa04062:Chemokine signaling pathway	9346309	DLRP;HPMR;IUPHAR	LR00172
6360	CCL16	Secreted	1230	CCR1	Membrane	Cytokine-cytokine receptor interaction	hsa04060:Cytokine-cytokine receptor interaction;hsa04061:Viral protein interaction with cytokine and cytokine receptor;hsa04062:Chemokine signaling pathway	10910894;11470772	HPMR;CellphoneDB	LR00173
6368	CCL23	Secreted	1230	CCR1	Membrane	Cytokine-cytokine receptor interaction	hsa04060:Cytokine-cytokine receptor interaction;hsa04061:Viral protein interaction with cytokine and cytokine receptor;hsa04062:Chemokine signaling pathway	10660125;12381680;9886417;9558365	DLRP;HPMR;IUPHAR;CellphoneDB	LR00174
10344	CCL26	Secreted	1232	CCR3	Membrane	Cytokine-cytokine receptor interaction	hsa04060:Cytokine-cytokine receptor interaction	16339911;10488147;15207250	DLRP;HPMR;IUPHAR;CellphoneDB	LR00175
3627	CXCL10	Secreted	1232	CCR3	Membrane	Cytokine-cytokine receptor interaction	hsa04062:Chemokine signaling pathway	11110785	IUPHAR	LR00177
4283	CXCL9	Secreted	1232	CCR3	Membrane	Cytokine-cytokine receptor interaction	hsa04062:Chemokine signaling pathway	11110785	IUPHAR	LR00178
56477	CCL28	Secreted	1232	CCR3	Membrane	Cytokine-cytokine receptor interaction	hsa04060:Cytokine-cytokine receptor interaction;hsa04061:Viral protein interaction with cytokine and cytokine receptor;hsa04062:Chemokine signaling pathway	10975800;12964882	HPMR;IUPHAR	LR00179
6347	CCL2	Secreted	1232	CCR3	Membrane	Cytokine-cytokine receptor interaction	hsa04062:Chemokine signaling pathway	8642344	IUPHAR	LR00180
6348	CCL3	Secreted	1232	CCR3	Membrane	Cytokine-cytokine receptor interaction	hsa04062:Chemokine signaling pathway	7594543	CellphoneDB	LR00181
6349	CCL3L1	Secreted	1232	CCR3	Membrane	Cytokine-cytokine receptor interaction	hsa04062:Chemokine signaling pathway	11449371		LR00182
6351	CCL4	Secreted	1232	CCR3	Membrane	Cytokine-cytokine receptor interaction	hsa04062:Chemokine signaling pathway	7622448		LR00183
6352	CCL5	Secreted	1232	CCR3	Membrane	Cytokine-cytokine receptor interaction	hsa04060:Cytokine-cytokine receptor interaction;hsa04061:Viral protein interaction with cytokine and cytokine receptor;hsa04062:Chemokine signaling pathway	9289016;8642344	DLRP;HPMR;IUPHAR;CellphoneDB	LR00184
6354	CCL7	Secreted	1232	CCR3	Membrane	Cytokine-cytokine receptor interaction	hsa04060:Cytokine-cytokine receptor interaction;hsa04061:Viral protein interaction with cytokine and cytokine receptor;hsa04062:Chemokine signaling pathway	8642344	DLRP;HPMR;IUPHAR;CellphoneDB	LR00185
6355	CCL8	Secreted	1232	CCR3	Membrane	Cytokine-cytokine receptor interaction	hsa04062:Chemokine signaling pathway	9005985	DLRP;HPMR;IUPHAR;CellphoneDB	LR00186
6356	CCL11	Secreted	1232	CCR3	Membrane	Cytokine-cytokine receptor interaction	hsa04060:Cytokine-cytokine receptor interaction;hsa04061:Viral protein interaction with cytokine and cytokine receptor;hsa04062:Chemokine signaling pathway	12761559;8609214;8642344;16339911;9276730;10488147;10854442;8676064;9712872	DLRP;HPMR;IUPHAR;CellphoneDB	LR00187
6357	CCL13	Secreted	1232	CCR3	Membrane	Cytokine-cytokine receptor interaction	hsa04060:Cytokine-cytokine receptor interaction;hsa04061:Viral protein interaction with cytokine and cytokine receptor;hsa04062:Chemokine signaling pathway	12149192;16339911;9276730;9005985	DLRP;HPMR;IUPHAR;CellphoneDB	LR00188
6358	CCL14	Secreted	1232	CCR3	Membrane	Cytokine-cytokine receptor interaction	hsa04062:Chemokine signaling pathway	11085751	CellphoneDB	LR00189
6359	CCL15	Secreted	1232	CCR3	Membrane	Cytokine-cytokine receptor interaction	hsa04060:Cytokine-cytokine receptor interaction;hsa04061:Viral protein interaction with cytokine and cytokine receptor;hsa04062:Chemokine signaling pathway	9346309	DLRP;HPMR;IUPHAR	LR00190
6362	CCL18	Secreted	1232	CCR3	Membrane	Cytokine-cytokine receptor interaction	hsa04062:Chemokine signaling pathway	23951310;29637711		LR00191
6369	CCL24	Secreted	1232	CCR3	Membrane	Cytokine-cytokine receptor interaction	hsa04060:Cytokine-cytokine receptor interaction;hsa04061:Viral protein interaction with cytokine and cytokine receptor;hsa04062:Chemokine signaling pathway	16339911;10488147;15207250;12218106	DLRP;HPMR;IUPHAR;CellphoneDB	LR00193
6373	CXCL11	Secreted	1232	CCR3	Membrane	Cytokine-cytokine receptor interaction	hsa04062:Chemokine signaling pathway	11110785	IUPHAR	LR00194
6352	CCL5	Secreted	1233	CCR4	Membrane	Cytokine-cytokine receptor interaction	hsa04060:Cytokine-cytokine receptor interaction;hsa04061:Viral protein interaction with cytokine and cytokine receptor;hsa04062:Chemokine signaling pathway	12270118	DLRP;CellphoneDB	LR00195
6361	CCL17	Secreted	1233	CCR4	Membrane	Cytokine-cytokine receptor interaction	hsa04060:Cytokine-cytokine receptor interaction;hsa04061:Viral protein interaction with cytokine and cytokine receptor;hsa04062:Chemokine signaling pathway	29637711	DLRP;HPMR;IUPHAR;CellphoneDB	LR00196
6367	CCL22	Secreted	1233	CCR4	Membrane	Cytokine-cytokine receptor interaction	hsa04060:Cytokine-cytokine receptor interaction;hsa04061:Viral protein interaction with cytokine and cytokine receptor;hsa04062:Chemokine signaling pathway	29637711	DLRP;HPMR;IUPHAR;CellphoneDB	LR00197
10344	CCL26	Secreted	1234	CCR5	Membrane	Cytokine-cytokine receptor interaction	hsa04062:Chemokine signaling pathway	29637711		LR00198
2532	ACKR1	Membrane	1234	CCR5	Membrane	Cell adhesion		29637711		LR00199
2771	GNAI2	Membrane	1234	CCR5	Membrane	Cell adhesion		15251452		LR00200
414062	CCL3L3	Secreted	1234	CCR5	Membrane	Cytokine-cytokine receptor interaction	hsa04060:Cytokine-cytokine receptor interaction;hsa04061:Viral protein interaction with cytokine and cytokine receptor;hsa04062:Chemokine signaling pathway	10364178;11734558		LR00202
5004	ORM1	Secreted	1234	CCR5	Membrane	Cytokine-cytokine receptor interaction		11336643		LR00203
6347	CCL2	Secreted	1234	CCR5	Membrane	Cytokine-cytokine receptor interaction	hsa04062:Chemokine signaling pathway	16298345;10477718	IUPHAR	LR00204
6348	CCL3	Secreted	1234	CCR5	Membrane	Cytokine-cytokine receptor interaction	hsa04060:Cytokine-cytokine receptor interaction;hsa04061:Viral protein interaction with cytokine and cytokine receptor;hsa04062:Chemokine signaling pathway	9790730;11700073;12964882;16298345;11170631;10477718	DLRP;HPMR;IUPHAR;CellphoneDB	LR00205
6349	CCL3L1	Secreted	1234	CCR5	Membrane	Cytokine-cytokine receptor interaction	hsa04060:Cytokine-cytokine receptor interaction;hsa04061:Viral protein interaction with cytokine and cytokine receptor;hsa04062:Chemokine signaling pathway	11449371;11734558		LR00206
6351	CCL4	Secreted	1234	CCR5	Membrane	Cytokine-cytokine receptor interaction	hsa04060:Cytokine-cytokine receptor interaction;hsa04061:Viral protein interaction with cytokine and cytokine receptor;hsa04062:Chemokine signaling pathway	9790730;8663314;12427015;12964882;16298345	DLRP;HPMR;IUPHAR	LR00207
6352	CCL5	Secreted	1234	CCR5	Membrane	Cytokine-cytokine receptor interaction	hsa04060:Cytokine-cytokine receptor interaction;hsa04061:Viral protein interaction with cytokine and cytokine receptor;hsa04062:Chemokine signaling pathway	9790730;8663314;10318947;14637022;11116158;12964882;16298345;9289016;10477718	DLRP;HPMR;IUPHAR;CellphoneDB	LR00208
6354	CCL7	Secreted	1234	CCR5	Membrane	Cytokine-cytokine receptor interaction	hsa04062:Chemokine signaling pathway	16298345;10477718	DLRP;IUPHAR;CellphoneDB	LR00209
6355	CCL8	Secreted	1234	CCR5	Membrane	Cytokine-cytokine receptor interaction	hsa04060:Cytokine-cytokine receptor interaction;hsa04061:Viral protein interaction with cytokine and cytokine receptor;hsa04062:Chemokine signaling pathway	12964882;9468473;10477718;9790730	DLRP;HPMR;IUPHAR;CellphoneDB	LR00210
6356	CCL11	Secreted	1234	CCR5	Membrane	Cytokine-cytokine receptor interaction	hsa04062:Chemokine signaling pathway	11264152;10477718	DLRP;IUPHAR	LR00211
6357	CCL13	Secreted	1234	CCR5	Membrane	Cytokine-cytokine receptor interaction	hsa04062:Chemokine signaling pathway	9790730;10477718	DLRP;IUPHAR	LR00212
6358	CCL14	Secreted	1234	CCR5	Membrane	Cytokine-cytokine receptor interaction	hsa04062:Chemokine signaling pathway	12964882;20483925;11085751;16298345	HPMR;IUPHAR	LR00213
6360	CCL16	Secreted	1234	CCR5	Membrane	Cytokine-cytokine receptor interaction	hsa04062:Chemokine signaling pathway	11470772	IUPHAR	LR00214
7852	CXCR4	Membrane	1234	CCR5	Membrane	Cell adhesion		29637711		LR00215
6364	CCL20	Secreted	1235	CCR6	Membrane	Cytokine-cytokine receptor interaction	hsa04060:Cytokine-cytokine receptor interaction;hsa04061:Viral protein interaction with cytokine and cytokine receptor;hsa04062:Chemokine signaling pathway	12081481;9169459;12964882;9294137;9223454	DLRP;HPMR;IUPHAR;CellphoneDB	LR00217
8743	TNFSF10	Secreted	1235	CCR6	Membrane	Cytokine-cytokine receptor interaction		16230375		LR00218
6363	CCL19	Secreted	1236	CCR7	Membrane	Cytokine-cytokine receptor interaction	hsa04060:Cytokine-cytokine receptor interaction;hsa04061:Viral protein interaction with cytokine and cytokine receptor;hsa04062:Chemokine signaling pathway	9507024;11342595;9153236	DLRP;HPMR;IUPHAR;CellphoneDB	LR00219
