Ligand_id	Ligand_symbol	Ligand_location	Receptor_id	Receptor_symbol	Receptor.location	Type	KEGG.pathway	Pmubmed.ID	Other.DB	LRID
11516	Adcyap1	Secreted	22355	Vipr2	Membrane	Cytokine-cytokine receptor interaction	mmu04024:cAMP signaling pathway	9928018;8146174;11978642;12488235;11931347;16930633	IUPHAR	LR03994
22353	Vip	Secreted	11517	Adcyap1r1	Membrane	Cytokine-cytokine receptor interaction	mmu04024:cAMP signaling pathway	11931347;16930633;10583729;12488235	IUPHAR	LR03995
212108	Rln3	Secreted	140498	Rxfp2	Membrane	Cytokine-cytokine receptor interaction	mmu04080:Neuroactive ligand-receptor interaction	16411781	IUPHAR	LR03996
212108	Rln3	Secreted	242093	Rxfp4	Membrane	Secreted protein to receptor interaction	mmu04080:Neuroactive ligand-receptor interaction	14522967;25761609;27888281	IUPHAR;HPMR	LR03997
12759	Clu	Membrane	83433	Trem2	Membrane	Cell adhesion		28432014		LR03998
20296	Ccl2	Secreted	12770	Ccr1l1	Membrane	Cytokine-cytokine receptor interaction	mmu04062:Chemokine signaling pathway	7679328;8631787	DLRP;HPMR	LR03999
20302	Ccl3	Secreted	12770	Ccr1l1	Membrane	Cytokine-cytokine receptor interaction	mmu04060:Cytokine-cytokine receptor interaction;mmu04061:Viral protein interaction with cytokine and cytokine receptor;mmu04062:Chemokine signaling pathway	9624164;8530354;9115216;10660125;11170631;12381680;10202040;7545673	DLRP;HPMR;IUPHAR;CellphoneDB	LR04000
20303	Ccl4	Secreted	12770	Ccr1l1	Membrane	Cytokine-cytokine receptor interaction	mmu04062:Chemokine signaling pathway	7594543;12381680;8530354	DLRP;IUPHAR	LR04001
20304	Ccl5	Secreted	12770	Ccr1l1	Membrane	Cytokine-cytokine receptor interaction	mmu04060:Cytokine-cytokine receptor interaction;mmu04061:Viral protein interaction with cytokine and cytokine receptor;mmu04062:Chemokine signaling pathway	12270118;9624164;8530354;14637022;9289016;7545673;11116158	DLRP;IUPHAR;CellphoneDB	LR04002
20306	Ccl7	Secreted	12770	Ccr1l1	Membrane	Cytokine-cytokine receptor interaction	mmu04060:Cytokine-cytokine receptor interaction;mmu04061:Viral protein interaction with cytokine and cytokine receptor;mmu04062:Chemokine signaling pathway	11994538;8530354;9115216;12381680;7545673	DLRP;HPMR;IUPHAR;CellphoneDB	LR04003
20293	Ccl12	Secreted	12770	Ccr1l1	Membrane	Cytokine-cytokine receptor interaction	mmu04060:Cytokine-cytokine receptor interaction;mmu04061:Viral protein interaction with cytokine and cytokine receptor;mmu04062:Chemokine signaling pathway	9115216	DLRP;IUPHAR;CellphoneDB	LR04004
20305	Ccl6	Secreted	12770	Ccr1l1	Membrane	Cytokine-cytokine receptor interaction	mmu04060:Cytokine-cytokine receptor interaction;mmu04061:Viral protein interaction with cytokine and cytokine receptor;mmu04062:Chemokine signaling pathway	10660125;12381680;9558365;9886417	DLRP;HPMR;IUPHAR;CellphoneDB	LR04005
15945	Cxcl10	Secreted	12771	Ccr3	Membrane	Cytokine-cytokine receptor interaction	mmu04062:Chemokine signaling pathway	11110785	IUPHAR	LR04007
17329	Cxcl9	Secreted	12771	Ccr3	Membrane	Cytokine-cytokine receptor interaction	mmu04062:Chemokine signaling pathway	11110785	IUPHAR	LR04008
56838	Ccl28	Secreted	12771	Ccr3	Membrane	Cytokine-cytokine receptor interaction	mmu04060:Cytokine-cytokine receptor interaction;mmu04061:Viral protein interaction with cytokine and cytokine receptor;mmu04062:Chemokine signaling pathway	10975800;12964882	IUPHAR;HPMR	LR04009
20296	Ccl2	Secreted	12771	Ccr3	Membrane	Cytokine-cytokine receptor interaction	mmu04062:Chemokine signaling pathway	8642344	IUPHAR	LR04010
20303	Ccl4	Secreted	12771	Ccr3	Membrane	Cytokine-cytokine receptor interaction	mmu04062:Chemokine signaling pathway	7622448		LR04011
20304	Ccl5	Secreted	12771	Ccr3	Membrane	Cytokine-cytokine receptor interaction	mmu04060:Cytokine-cytokine receptor interaction;mmu04061:Viral protein interaction with cytokine and cytokine receptor;mmu04062:Chemokine signaling pathway	8642344;9289016	DLRP;HPMR;IUPHAR;CellphoneDB	LR04012
20306	Ccl7	Secreted	12771	Ccr3	Membrane	Cytokine-cytokine receptor interaction	mmu04060:Cytokine-cytokine receptor interaction;mmu04061:Viral protein interaction with cytokine and cytokine receptor;mmu04062:Chemokine signaling pathway	8642344	DLRP;HPMR;IUPHAR;CellphoneDB	LR04013
20293	Ccl12	Secreted	12771	Ccr3	Membrane	Cytokine-cytokine receptor interaction	mmu04062:Chemokine signaling pathway	9005985	DLRP;HPMR;IUPHAR;CellphoneDB	LR04014
20292	Ccl11	Secreted	12771	Ccr3	Membrane	Cytokine-cytokine receptor interaction	mmu04060:Cytokine-cytokine receptor interaction;mmu04061:Viral protein interaction with cytokine and cytokine receptor;mmu04062:Chemokine signaling pathway	10854442;9276730;8609214;12761559;10488147;8676064;16339911;8642344;9712872	DLRP;HPMR;IUPHAR;CellphoneDB	LR04015
20305	Ccl6	Secreted	12771	Ccr3	Membrane	Cytokine-cytokine receptor interaction	mmu04060:Cytokine-cytokine receptor interaction;mmu04061:Viral protein interaction with cytokine and cytokine receptor;mmu04062:Chemokine signaling pathway	9346309	DLRP;HPMR;IUPHAR	LR04016
20302	Ccl3	Secreted	12771	Ccr3	Membrane	Cytokine-cytokine receptor interaction	mmu04062:Chemokine signaling pathway	29637711;23951310		LR04017
56221	Ccl24	Secreted	12771	Ccr3	Membrane	Cytokine-cytokine receptor interaction	mmu04060:Cytokine-cytokine receptor interaction;mmu04061:Viral protein interaction with cytokine and cytokine receptor;mmu04062:Chemokine signaling pathway	16339911;15207250;12218106;10488147	DLRP;HPMR;IUPHAR;CellphoneDB	LR04018
20304	Ccl5	Secreted	12773	Ccr4	Membrane	Cytokine-cytokine receptor interaction	mmu04060:Cytokine-cytokine receptor interaction;mmu04061:Viral protein interaction with cytokine and cytokine receptor;mmu04062:Chemokine signaling pathway	12270118	DLRP;CellphoneDB	LR04019
20295	Ccl17	Secreted	12773	Ccr4	Membrane	Cytokine-cytokine receptor interaction	mmu04060:Cytokine-cytokine receptor interaction;mmu04061:Viral protein interaction with cytokine and cytokine receptor;mmu04062:Chemokine signaling pathway	29637711	DLRP;HPMR;IUPHAR;CellphoneDB	LR04020
20299	Ccl22	Secreted	12773	Ccr4	Membrane	Cytokine-cytokine receptor interaction	mmu04060:Cytokine-cytokine receptor interaction;mmu04061:Viral protein interaction with cytokine and cytokine receptor;mmu04062:Chemokine signaling pathway	29637711	DLRP;HPMR;IUPHAR;CellphoneDB	LR04021
13349	Ackr1	Membrane	12774	Ccr5	Membrane	Cell adhesion		29637711		LR04022
14678	Gnai2	Membrane	12774	Ccr5	Membrane	Cell adhesion		15251452		LR04023
18406	Orm2	Secreted	12774	Ccr5	Membrane	Cytokine-cytokine receptor interaction		11336643		LR04024
20296	Ccl2	Secreted	12774	Ccr5	Membrane	Cytokine-cytokine receptor interaction	mmu04062:Chemokine signaling pathway	10477718;16298345	IUPHAR	LR04025
20302	Ccl3	Secreted	12774	Ccr5	Membrane	Cytokine-cytokine receptor interaction	mmu04060:Cytokine-cytokine receptor interaction;mmu04061:Viral protein interaction with cytokine and cytokine receptor;mmu04062:Chemokine signaling pathway	16298345;11700073;9790730;11170631;12964882;10477718	DLRP;HPMR;IUPHAR;CellphoneDB	LR04026
20303	Ccl4	Secreted	12774	Ccr5	Membrane	Cytokine-cytokine receptor interaction	mmu04060:Cytokine-cytokine receptor interaction;mmu04061:Viral protein interaction with cytokine and cytokine receptor;mmu04062:Chemokine signaling pathway	16298345;9790730;12964882;12427015;8663314	DLRP;HPMR;IUPHAR	LR04027
20304	Ccl5	Secreted	12774	Ccr5	Membrane	Cytokine-cytokine receptor interaction	mmu04060:Cytokine-cytokine receptor interaction;mmu04061:Viral protein interaction with cytokine and cytokine receptor;mmu04062:Chemokine signaling pathway	16298345;14637022;9790730;12964882;9289016;10477718;8663314;11116158;10318947	DLRP;HPMR;IUPHAR;CellphoneDB	LR04028
20306	Ccl7	Secreted	12774	Ccr5	Membrane	Cytokine-cytokine receptor interaction	mmu04062:Chemokine signaling pathway	10477718;16298345	DLRP;IUPHAR;CellphoneDB	LR04029
20293	Ccl12	Secreted	12774	Ccr5	Membrane	Cytokine-cytokine receptor interaction	mmu04060:Cytokine-cytokine receptor interaction;mmu04061:Viral protein interaction with cytokine and cytokine receptor;mmu04062:Chemokine signaling pathway	10477718;9468473;12964882;9790730	DLRP;HPMR;IUPHAR;CellphoneDB	LR04030
20292	Ccl11	Secreted	12774	Ccr5	Membrane	Cytokine-cytokine receptor interaction	mmu04062:Chemokine signaling pathway	10477718;11264152	DLRP;IUPHAR	LR04031
12767	Cxcr4	Membrane	12774	Ccr5	Membrane	Cell adhesion		29637711		LR04032
20297	Ccl20	Secreted	12458	Ccr6	Membrane	Cytokine-cytokine receptor interaction	mmu04060:Cytokine-cytokine receptor interaction;mmu04061:Viral protein interaction with cytokine and cytokine receptor;mmu04062:Chemokine signaling pathway	9223454;9294137;12081481;12964882;9169459	DLRP;HPMR;IUPHAR;CellphoneDB	LR04033
22035	Tnfsf10	Secreted	12458	Ccr6	Membrane	Cytokine-cytokine receptor interaction		16230375		LR04034
100042493	Ccl21b	Secreted	12775	Ccr7	Membrane	Cytokine-cytokine receptor interaction	mmu04060:Cytokine-cytokine receptor interaction;mmu04061:Viral protein interaction with cytokine and cytokine receptor;mmu04062:Chemokine signaling pathway	9585422;11970971;9507024	DLRP;HPMR;IUPHAR;CellphoneDB	LR04035
12767	Cxcr4	Membrane	12775	Ccr7	Membrane	Cell adhesion		29637711		LR04036
20303	Ccl4	Secreted	12776	Ccr8	Membrane	Cytokine-cytokine receptor interaction	mmu04062:Chemokine signaling pathway	9521068	DLRP	LR04037
20295	Ccl17	Secreted	12776	Ccr8	Membrane	Cytokine-cytokine receptor interaction	mmu04062:Chemokine signaling pathway	9521068;12832759	DLRP	LR04038
100039939	Ccl27a	Secreted	59289	Ackr2	Membrane	Cytokine-cytokine receptor interaction		11821900;10725697;10725696		LR04039
20303	Ccl4	Secreted	59289	Ackr2	Membrane	Cytokine-cytokine receptor interaction		29637711		LR04040
56838	Ccl28	Secreted	59289	Ackr2	Membrane	Cytokine-cytokine receptor interaction		10781587		LR04041
20296	Ccl2	Secreted	59289	Ackr2	Membrane	Cytokine-cytokine receptor interaction		9405404;26740381;9364936	DLRP;CellphoneDB	LR04042
20302	Ccl3	Secreted	59289	Ackr2	Membrane	Cytokine-cytokine receptor interaction		9405404;26740381	CellphoneDB	LR04043
20304	Ccl5	Secreted	59289	Ackr2	Membrane	Cytokine-cytokine receptor interaction		9405404;26740381	DLRP;CellphoneDB	LR04044
20306	Ccl7	Secreted	59289	Ackr2	Membrane	Cytokine-cytokine receptor interaction		9405404;26740381;9364936	DLRP;CellphoneDB	LR04045
20293	Ccl12	Secreted	59289	Ackr2	Membrane	Cytokine-cytokine receptor interaction		9405404;26740381	DLRP;CellphoneDB	LR04046
20292	Ccl11	Secreted	59289	Ackr2	Membrane	Cytokine-cytokine receptor interaction		9405404;26740381	DLRP;CellphoneDB	LR04047
20295	Ccl17	Secreted	59289	Ackr2	Membrane	Cytokine-cytokine receptor interaction		26740381;29637711		LR04048
20299	Ccl22	Secreted	59289	Ackr2	Membrane	Cytokine-cytokine receptor interaction		26740381;29637711		LR04049
56221	Ccl24	Secreted	59289	Ackr2	Membrane	Cytokine-cytokine receptor interaction		26740381		LR04050
71660	Rarres2	Secreted	14747	Cmklr1	Membrane	Secreted protein to receptor interaction		18165312;14701797;14530373;23396314;14675762;24671882	IUPHAR;HPMR	LR04051
278507	Wfikkn2	Secreted	235472	Prtg	Membrane	Secreted protein to receptor interaction		32822567		LR04052
245126	Tarm1	Membrane	232790	Oscar	Membrane	Cell adhesion		32822567		LR04053
12803	Cntf	Secreted	16194	Il6ra	Membrane	Cytokine-cytokine receptor interaction	mmu04630:Jak-STAT signaling pathway	1281789		LR04054
12803	Cntf	Secreted	16195	Il6st	Membrane	Cytokine-cytokine receptor interaction	mmu04060:Cytokine-cytokine receptor interaction	12643274;16051226	DLRP	LR04055
20660	Sorl1	Membrane	12804	Cntfr	Membrane	Cell adhesion		26858303		LR04056
546511	Gm11555	ECM	12804	Cntfr	Membrane	ECM-receptor interaction		16189514		LR04057
21923	Tnc	ECM	12805	Cntn1	Membrane	ECM-receptor interaction		10103110		LR04058
16728	L1cam	Membrane	12805	Cntn1	Membrane	Cell adhesion		7595520		LR04059
84004	Mcam	Membrane	12805	Cntn1	Membrane	Cell adhesion		32822567		LR04060
17967	Ncam1	Membrane	12805	Cntn1	Membrane	Cell adhesion		7595520		LR04061
19283	Ptprz1	Membrane	12805	Cntn1	Membrane	Cell adhesion		20133774		LR04063
12805	Cntn1	Membrane	21367	Cntn2	Membrane	Cell adhesion		12139915		LR04064
21838	Thy1	Membrane	12805	Cntn1	Membrane	Cell adhesion		7595520		LR04065
12845	Comp	ECM	12842	Col1a1	ECM	ECM-receptor interaction		27318326		LR04066
13003	Vcan	ECM	12842	Col1a1	ECM	ECM-receptor interaction		16045811		LR04067
12842	Col1a1	ECM	71753	Tmprss6	Membrane	ECM-receptor interaction		12149247		LR04068
12842	Col1a1	ECM	17064	Cd93	Membrane	ECM-receptor interaction		1377218		LR04069
12842	Col1a1	ECM	16402	Itga5	Membrane	ECM-receptor interaction	mmu04151:PI3K-Akt signaling pathway;mmu04510:Focal adhesion;mmu05165:Human papillomavirus infection	1693626		LR04070
12842	Col1a1	ECM	18214	Ddr2	Membrane	ECM-receptor interaction		9659899;12611880	HPMR	LR04071
12842	Col1a1	ECM	20969	Sdc1	Membrane	ECM-receptor interaction	mmu04512:ECM-receptor interaction	1969657		LR04073
22371	Vwf	Secreted	12842	Col1a1	ECM	Secreted protein to ECM interaction		19286885		LR04075
12845	Comp	ECM	12843	Col1a2	ECM	ECM-receptor interaction		27318326		LR04076
13003	Vcan	ECM	12843	Col1a2	ECM	ECM-receptor interaction		16045811		LR04077
12843	Col1a2	ECM	17064	Cd93	Membrane	ECM-receptor interaction		1377218		LR04078
12843	Col1a2	ECM	16399	Itga2b	Membrane	ECM-receptor interaction	mmu04151:PI3K-Akt signaling pathway;mmu04510:Focal adhesion;mmu05165:Human papillomavirus infection	11359786		LR04079
12843	Col1a2	ECM	16416	Itgb3	Membrane	ECM-receptor interaction	mmu04151:PI3K-Akt signaling pathway;mmu04510:Focal adhesion;mmu05165:Human papillomavirus infection	1693626		LR04080
12843	Col1a2	ECM	18214	Ddr2	Membrane	ECM-receptor interaction		9659900		LR04081
12843	Col1a2	ECM	20969	Sdc1	Membrane	ECM-receptor interaction	mmu04512:ECM-receptor interaction	1969657		LR04083
22371	Vwf	Secreted	12843	Col1a2	ECM	Secreted protein to ECM interaction		19286885		LR04085
12824	Col2a1	ECM	17064	Cd93	Membrane	ECM-receptor interaction		1377218		LR04086
12824	Col2a1	ECM	16399	Itga2b	Membrane	ECM-receptor interaction	mmu04151:PI3K-Akt signaling pathway;mmu04510:Focal adhesion;mmu05165:Human papillomavirus infection	10772239;7520045		LR04087
12824	Col2a1	ECM	17136	Mag	Membrane	ECM-receptor interaction		2446864		LR04088
17180	Matn1	ECM	12824	Col2a1	ECM	ECM-receptor interaction		10196235		LR04089
12824	Col2a1	ECM	18214	Ddr2	Membrane	ECM-receptor interaction		9659900		LR04090
12825	Col3a1	ECM	17064	Cd93	Membrane	ECM-receptor interaction		1377218		LR04094
12825	Col3a1	ECM	17136	Mag	Membrane	ECM-receptor interaction		2446864		LR04095
12825	Col3a1	ECM	18214	Ddr2	Membrane	ECM-receptor interaction		9659900;9659899		LR04096
12825	Col3a1	ECM	20969	Sdc1	Membrane	ECM-receptor interaction		1969657		LR04097
22371	Vwf	Secreted	12825	Col3a1	ECM	Secreted protein to ECM interaction		19286885		LR04098
12826	Col4a1	ECM	17064	Cd93	Membrane	ECM-receptor interaction		1377218		LR04099
12826	Col4a1	ECM	18214	Ddr2	Membrane	ECM-receptor interaction		9659900		LR04100
22371	Vwf	Secreted	12826	Col4a1	ECM	Secreted protein to ECM interaction		19286885		LR04104
12827	Col4a2	ECM	17064	Cd93	Membrane	ECM-receptor interaction		1377218		LR04105
12827	Col4a2	ECM	18214	Ddr2	Membrane	ECM-receptor interaction		9659900		LR04106
22371	Vwf	Secreted	12827	Col4a2	ECM	Secreted protein to ECM interaction		19286885		LR04110
12828	Col4a3	ECM	17064	Cd93	Membrane	ECM-receptor interaction		1377218		LR04111
12828	Col4a3	ECM	16416	Itgb3	Membrane	ECM-receptor interaction	mmu04151:PI3K-Akt signaling pathway;mmu04510:Focal adhesion;mmu05165:Human papillomavirus infection	12842087;14610079		LR04112
12828	Col4a3	ECM	16419	Itgb5	Membrane	ECM-receptor interaction	mmu04151:PI3K-Akt signaling pathway;mmu04510:Focal adhesion;mmu05165:Human papillomavirus infection	14610079		LR04113
12828	Col4a3	ECM	18214	Ddr2	Membrane	ECM-receptor interaction		9659900		LR04114
22371	Vwf	Secreted	12828	Col4a3	ECM	Secreted protein to ECM interaction		19286885		LR04118
12829	Col4a4	ECM	17064	Cd93	Membrane	ECM-receptor interaction		9136074		LR04119
12829	Col4a4	ECM	18214	Ddr2	Membrane	ECM-receptor interaction		9659900		LR04120
12830	Col4a5	ECM	17064	Cd93	Membrane	ECM-receptor interaction		1377218		LR04124
12830	Col4a5	ECM	18214	Ddr2	Membrane	ECM-receptor interaction		9659900		LR04125
22371	Vwf	Secreted	12830	Col4a5	ECM	Secreted protein to ECM interaction		19286885		LR04129
94216	Col4a6	ECM	17064	Cd93	Membrane	ECM-receptor interaction		1377218		LR04130
94216	Col4a6	ECM	18214	Ddr2	Membrane	ECM-receptor interaction		9659900		LR04131
22371	Vwf	Secreted	94216	Col4a6	ECM	Secreted protein to ECM interaction		19286885		LR04135
12831	Col5a1	ECM	17064	Cd93	Membrane	ECM-receptor interaction		1377218		LR04136
12831	Col5a1	ECM	18214	Ddr2	Membrane	ECM-receptor interaction		9659900		LR04137
12831	Col5a1	ECM	20969	Sdc1	Membrane	ECM-receptor interaction		1969657		LR04138
12831	Col5a1	ECM	20970	Sdc3	Membrane	ECM-receptor interaction		11751872		LR04139
12832	Col5a2	ECM	17064	Cd93	Membrane	ECM-receptor interaction		1377218		LR04140
12832	Col5a2	ECM	18214	Ddr2	Membrane	ECM-receptor interaction		9659900		LR04141
12832	Col5a2	ECM	20969	Sdc1	Membrane	ECM-receptor interaction		1969657		LR04142
12837	Col8a1	ECM	109700	Itga1	Membrane	ECM-receptor interaction		12482545;10666376		LR04152
12837	Col8a1	ECM	16398	Itga2	Membrane	ECM-receptor interaction		12482545;10666376		LR04153
12839	Col9a1	ECM	17136	Mag	Membrane	ECM-receptor interaction		2446864		LR04154
